,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
10080,569544271017037824,positive,1.0,,,US Airways,,asakellym,,0,Thanks to the friendly US Airways staff that helped me get booked on various flights to get home today.  Almost there!,,2015-02-22 09:08:30 -0800,"Romansville, PA",Atlantic Time (Canada)
10099,569537485761433600,positive,1.0,,,US Airways,,clarkhook,,0,"I finally spoke to a person. Despite the mind boggling wait time, the rep was very pleasant and very helpful. Kudos to her.",,2015-02-22 08:41:32 -0800,"Franklin, TN",Eastern Time (US & Canada)
10129,569527205291802624,positive,1.0,,,US Airways,,BRizzyberg27,,0,Mellani B. and whole team in Columbia SC are absolute superstars. Incredibly helpful.,,2015-02-22 08:00:41 -0800,"75 Drayton Park, London, UK",Quito
10131,569526164575924225,positive,0.7149,,0.0,US Airways,,RobinCBNNews,,0,"please thank Mellie at CAE, Tammy in baggage claim at CLT 4  customer service 2day, BUT I have a complaint.",,2015-02-22 07:56:33 -0800,,
10141,569524497377861632,positive,1.0,,,US Airways,,LividFiction,,0,On re-accommodation number Lisa (Liza?) in Raleigh was very helpful,,2015-02-22 07:49:56 -0800,"Thicktown, Thickania",Eastern Time (US & Canada)
10161,569513151517073408,positive,0.6655,,0.0,US Airways,,JessicaRyckman,,0,"worked w/ Tiffany H at cust service desk in Charlotte and she was helpful and patient. Still stuck, but she was great.",,2015-02-22 07:04:51 -0800,"Washington, D.C.",Eastern Time (US & Canada)
10194,569495604944089088,positive,0.6556,,,US Airways,,mayic1963,,0,Good morning.,,2015-02-22 05:55:07 -0800,,
10204,569491590105980929,positive,1.0,,,US Airways,,TRGTALP,,0,Many thanks for your reply!,,2015-02-22 05:39:10 -0800,"Leeds, West Yorkshire",London
10221,569484387055734784,positive,1.0,,,US Airways,,ibeejd,,0,"job well done from your Philly employee running check,in today. (Tabitha?) helped us in an emergency & vacation saved!!!",,2015-02-22 05:10:33 -0800,,America/New_York
10283,569394015055040512,positive,1.0,,,US Airways,,AdamGiamba,,0,thanks!,,2015-02-21 23:11:26 -0800,"Bronx, NY",Eastern Time (US & Canada)
10329,569368352868556800,positive,1.0,,,US Airways,,Hayden_Ehlich,,0,ok thank you! Very helpful! This is why you're my favorite airline!,,2015-02-21 21:29:28 -0800,Blue Ridge High School,Atlantic Time (Canada)
10390,569337274707660800,positive,0.6701,,0.0,US Airways,,Rachel_Helena16,,0,Thanks guys! Got hold of someone. Really awesome service I appreciate it :),,2015-02-21 19:25:58 -0800,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
10395,569333934670139392,positive,1.0,,,US Airways,,asset25,,0,First class service on US 769 PHL-MCO today from the flight attendant in F. I didn't catch her name but she was top notch!,,2015-02-21 19:12:42 -0800,,
10397,569332237138841600,positive,0.3502,,0.0,US Airways,,MattClement,,0,Oh well. I'll get to Cancun eventually.,,2015-02-21 19:05:57 -0800,"Troy, NY",Eastern Time (US & Canada)
10405,569328854948573187,positive,0.6925,,0.0,US Airways,,zfelice,,0,"Eyyyy! Cancelled Flightlations, Flight Booking Problemss, reFlight Booking Problemss, but y'all got me on the same flight out tonight (not tomorrow) & the FC upgrade. Thx!",,2015-02-21 18:52:31 -0800,"This Ain't Chicago, Tennessee",Central Time (US & Canada)
10428,569314643627413504,positive,0.7033,,,US Airways,,CURVESandCHAOS,,0,thank you!!!,,2015-02-21 17:56:03 -0800,Los Angeles ,Pacific Time (US & Canada)
10441,569303779822190593,positive,0.3421,,0.0,US Airways,,bartha75,,0,"I wasnt  flying your airline tonight, however a friend was and I was present for her help. I flying United and they could learn.",,2015-02-21 17:12:52 -0800,san diego,
10446,569295822006960128,positive,0.6529,,0.0,US Airways,,jshieber,,0,the plane crew has been as professional and courteous as the gate agents were flustered.,,2015-02-21 16:41:15 -0800,New York ,Beijing
10449,569290509883187202,positive,0.6627,,0.0,US Airways,,bartha75,,0,"your ticket agents at gate 4 in Providence airport rocked tonight, especially Kristy, sorry if that is not the correct spelling.","[0.0, 0.0]",2015-02-21 16:20:09 -0800,san diego,
10450,569289836995190784,positive,0.7065,,,US Airways,,awitsportsfreak,,0,2 Kristie(sp?) from Gate4 @ PVD today. She's a  was a tremendous help in a tough situation.,"[41.72221977, -71.44574004]",2015-02-21 16:17:28 -0800,"Wisconsin, Arizona and...",Pacific Time (US & Canada)
10453,569289098944507904,positive,1.0,,,US Airways,,MarciDunnagan,,0,Thank you for your help today.  I have been a loyal US airways customer and i appreciate your responding to my tweets.,,2015-02-21 16:14:32 -0800,"Boston, MA",Hawaii
10455,569287724471066625,positive,1.0,,,US Airways,,Alexxx3001,,0,an already pleasant flight from London to Charlotte (US733) was made fantastic by an amazing attendant. Thank you so much Robert!,,2015-02-21 16:09:05 -0800,London,London
10472,569269594386526209,positive,0.6276,,,US Airways,,PinkBird,,0,"woohoo! He still has 1 more flight but so happy to hear they're in the air, just about cried! (Must be the preggo hormones!) thx!",,2015-02-21 14:57:02 -0800,,Mountain Time (US & Canada)
10477,569263732280451072,positive,1.0,,,US Airways,,MichelleFilling,,0,Thank you!!! This whole crew has rocked through bad weather and diversion. Pilot keeping us well informed.,,2015-02-21 14:33:44 -0800,,Eastern Time (US & Canada)
10479,569263496560422912,positive,1.0,,,US Airways,,Punkasswill,,0,i hope i get the opportunity to join the team with this job opening!,,2015-02-21 14:32:48 -0800,Nwps  CA.,Alaska
10484,569259449115942913,positive,1.0,,,US Airways,,OthalieGraham,,0,thank you! You have always been so good to me. I will follow up.,"[39.94624391, -75.17915216]",2015-02-21 14:16:43 -0800,,
10485,569258945254191104,positive,0.6531,,,US Airways,,Le_Sport1,,0,No Problem - he was the only person in the airport who would help :),,2015-02-21 14:14:43 -0800,Rhos-on-Sea,London
10487,569258544714911746,positive,0.6879,,0.0,US Airways,,PinkBird,,0,"thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed...",,2015-02-21 14:13:08 -0800,,Mountain Time (US & Canada)
10488,569256468198924288,positive,0.6934,,,US Airways,,MichelleFilling,,0,Nick on flight 742 was awesome. Please reward him in some way!!! He has kept us smiling on a bad day of travel.,,2015-02-21 14:04:52 -0800,,Eastern Time (US & Canada)
10491,569253430100946944,positive,0.6363,,0.0,US Airways,,MattMuskrat,,0,sitting on a plane in Philadelphia for over 20 minutes waiting just to get off the plane. Great service!,,2015-02-21 13:52:48 -0800,,
10508,569242046621491200,positive,1.0,,,US Airways,,Tom4719,,0,big thank you to your ticketing agent Ute V at Dulles-Washington for OUTSTANDING guest service to get me rebooked,,2015-02-21 13:07:34 -0800,"West Des Moines, IA",Central Time (US & Canada)
10511,569241701434449920,positive,1.0,,,US Airways,,JoVeSi,,0,I love you guys!!!,,2015-02-21 13:06:12 -0800,"Philadelphia, PA",Eastern Time (US & Canada)
10524,569226857272516608,positive,0.6333,,0.0,US Airways,,MattClement,,0,Can't wait for the trip. Thanks for getting me there!,,2015-02-21 12:07:13 -0800,"Troy, NY",Eastern Time (US & Canada)
10532,569220438397751299,positive,1.0,,,US Airways,,culvert,,0,your team member at DCA- Tamara R. is her name was awesome. You should have more employees like her!,,2015-02-21 11:41:42 -0800,"Miami, Fla",Eastern Time (US & Canada)
10533,569220243123544065,positive,0.6778,,0.0,US Airways,,MichelleFilling,,0,thanks for getting us on ur plane. Awesome flight attendant who is making us smile after difficult travel.,,2015-02-21 11:40:56 -0800,,Eastern Time (US & Canada)
10567,569176528338202624,positive,0.6888,,0.0,US Airways,,ooglek,,0,"Stars aligned. Connecting flight was delayed into CLT. Made it! Thanks, glad to know someone is listening. Time for 80° in MoBay!",,2015-02-21 08:47:13 -0800,"Falls Church, VA",Eastern Time (US & Canada)
10603,569136050951622656,positive,1.0,,,US Airways,,AnnaFreifeld,,0,a big thanks to the gate agent flt5127..keeping us informed of the delay,,2015-02-21 06:06:23 -0800,,
10619,569119050682339329,positive,0.6729,,,US Airways,,kaptainkoncrete,,0,ok. Thank you,,2015-02-21 04:58:50 -0800,,Central Time (US & Canada)
10634,569088825420607488,positive,1.0,,,US Airways,,WTFloris,,0,"Got it, thanks!",,2015-02-21 02:58:43 -0800,Raxacoricofallapatorius,Amsterdam
10643,569021593852239872,positive,1.0,,,US Airways,,_G_Stevens,,0,Just spoke with a representative. Moved my flight earlier. Thank you so much for the follow up.,,2015-02-20 22:31:34 -0800,NYC,Eastern Time (US & Canada)
10649,569015346624991232,positive,1.0,,,US Airways,,AndreiNystrom,,0,hey guys just want to say I had the best flight ever! Thank you so much. I fell asleep and actually had a wet dream.,,2015-02-20 22:06:45 -0800,Russia,
10664,568996855566245889,positive,0.3517,,0.0,US Airways,,SweetingR,,0,"but don't worry! They found a hotel, it's only 45min away. I got there around 11:30pm, no problem.",,2015-02-20 20:53:16 -0800,"Asheville, NC",Eastern Time (US & Canada)
10685,568979232786939904,positive,1.0,,,US Airways,,iamchristine_d,,0,Kudos to Robin at  Lost/Found for reuniting me w/ my iPad. She was delightful to work with!,,2015-02-20 19:43:14 -0800,"Ptown, VA",Eastern Time (US & Canada)
10691,568970274303045634,positive,0.6953,,,US Airways,,greatservicenow,,0,experience exceptional service from Cherry at,,2015-02-20 19:07:39 -0800,"Rhode Island-Concord, NC-DMV",
10697,568966649728114688,positive,1.0,,,US Airways,,wearitbright,,0,me too!,,2015-02-20 18:53:14 -0800,"neenah, wi",
10700,568964227366387713,positive,1.0,,,US Airways,,GREATNESSEOA,,0,you can thank supervisor Jeanine and her coworkers for the excellent customer service they provided,,2015-02-20 18:43:37 -0800,McKinney TX,
10727,568935636318552064,positive,1.0,,,US Airways,,Shroomcam,,0,yes I did thank you! They did a great job turning the flight in jan !,,2015-02-20 16:50:00 -0800,Orlando ,
10729,568933672033910784,positive,1.0,,,US Airways,,RyanMelton,,0,connection made. Thanks again this week.,,2015-02-20 16:42:12 -0800,"Independence, MO",Central Time (US & Canada)
10755,568904804451409920,positive,0.6237,,,US Airways,,MikeSelesky,,0,thank you,,2015-02-20 14:47:29 -0800,,
10779,568882629409411072,positive,1.0,,,US Airways,,walkerwj,,0,Yes thank you. Appreciate u checking...,,2015-02-20 13:19:22 -0800,"ÜT: 38.955822,-94.728202",Central Time (US & Canada)
10787,568875591308611584,positive,1.0,,,US Airways,,emikomusic,,0,"I'm enjoying my flights so far! You're doing a great job. Today's been tough, so thanks for making my flights comfortable.",,2015-02-20 12:51:24 -0800,"New York, London, Tokyo",London
10796,568869609622904832,positive,1.0,,,US Airways,,liamkraz,,0,Shavon at customer service desk in Charlotte was fantastic! So helpful and smiling evn after what sounds like long day.Reward her,,2015-02-20 12:27:38 -0800,Arlington Va,Quito
10805,568861899435016192,positive,1.0,,,US Airways,,SkyDiverChad,,0,- Check-in staff at PHX are awesome! Great traffic control for general boarding.,,2015-02-20 11:57:00 -0800,"Phoenix, AZ",Arizona
10813,568854243097976832,positive,1.0,,,US Airways,,theeyeman3410,,0,Just talked to reservation. Must congratulation to them. Very friendly.  Good for usair. The ONLY airline we fly.,,2015-02-20 11:26:35 -0800,"iPhone: 38.851982,-77.185593",Eastern Time (US & Canada)
10832,568838743030956032,positive,1.0,,,US Airways,,MikeSelesky,,0,awesome! Flight  out of philly on Tuesday. Party in row 15 if you're interested.,,2015-02-20 10:24:59 -0800,,
10835,568834902365503488,positive,1.0,,,US Airways,,jamesheine1,,0,i got through and am able to switch my flight with no charge. Thank you,,2015-02-20 10:09:43 -0800,,
10837,568834834040164352,positive,1.0,,,US Airways,,bobdarealtor,,0,"Welcome to North Texas US Air / American Air employees. 
Housing and Education are great opportunities in The GR8 State Of Texas",,2015-02-20 10:09:27 -0800,Dallas Fort Worth,
10849,568825140898873344,positive,0.6638,,,US Airways,,franchise02,,0,"Thanks. No DC yet, I see. I will keep that link and check back. Appreciate it!",,2015-02-20 09:30:56 -0800,,Eastern Time (US & Canada)
10854,568823897967034368,positive,1.0,,,US Airways,,TripHExperience,,0,"awesome! And yes,  is!",,2015-02-20 09:26:00 -0800,"Los Angeles, Ca",Pacific Time (US & Canada)
10860,568818512191471616,positive,1.0,,,US Airways,,nanceebing,,0,Melinda in reservations in greensboro nc is an absolute jewel thank her for me she's amazing!!!,,2015-02-20 09:04:36 -0800,south beach/ LA / NC,Eastern Time (US & Canada)
10862,568817526823456768,positive,1.0,,,US Airways,,steven_follis,,0,Best GAgent in a long time - Danny B. for US628 DFW-CLT. Appreciated how up to date he kept us during irrops. Super professional!,,2015-02-20 09:00:41 -0800,"Charlotte, NC",Eastern Time (US & Canada)
10863,568815766474244096,positive,1.0,,,US Airways,,JeffSpeckAICP,,0,"Good news, we got fixed.",,2015-02-20 08:53:41 -0800,Washington DC,
10869,568811771315814401,positive,1.0,,,US Airways,,sydlisterney,,0,thank you!,,2015-02-20 08:37:48 -0800,babynole'18,Quito
10879,568807391484997632,positive,1.0,,,US Airways,,rzlevinson,,0,Thank you,,2015-02-20 08:20:24 -0800,,
10881,568806267940048896,positive,1.0,,,US Airways,,fmrtpr1894,,0,Reservation agent on the phone did a great job.,,2015-02-20 08:15:56 -0800,"Boston,MA",
10895,568794464749264896,positive,1.0,,,US Airways,,MHCone,,0,made it!!! Send Bloody Mary's to row 27!!!,,2015-02-20 07:29:02 -0800,"QueenCity, USA ",
10915,568786315820470272,positive,1.0,,,US Airways,,rzlevinson,,0,thanks for helping with  Booking Problems  Flightedflight Yvonne Anthony.  You will help us get to Tel Aviv on time.,,2015-02-20 06:56:39 -0800,,
10916,568785504004497408,positive,1.0,,,US Airways,,rzlevinson,,0,big thanks to Yvonne Anthony from the Chairman's desk.  Top tier customer service today.    &,,2015-02-20 06:53:26 -0800,,
10931,568777504368005120,positive,1.0,,,US Airways,,NicholasBSabin,,0,I appreciate your prompt response.,,2015-02-20 06:21:39 -0800,"Wendell, NC",Eastern Time (US & Canada)
10942,568773869512761345,positive,1.0,,,US Airways,,altadenadad,,0,Thks US  2/19 PHL to FLL. Overall 1st class has improved with more food now on PHL to FLL and most crews are super.,,2015-02-20 06:07:12 -0800,"Haverford, PA & Wilton Manors ",Atlantic Time (Canada)
10965,568749045528842240,positive,1.0,,,US Airways,,tayyylorrrx0,,0,thank you for refunding me on my baggage ! really appreciate it,,2015-02-20 04:28:33 -0800,NJ 973 | NC 910,Eastern Time (US & Canada)
10967,568748242109927424,positive,1.0,,,US Airways,,pamela_moats,,0,I am so going to miss US Airways.  You always provided great service and NEVER LET ME DOWN.,,2015-02-20 04:25:22 -0800,,
10976,568644931792687104,positive,0.6987,,,US Airways,,katiesherwood,,0,we will...sunday! Just a few days away,,2015-02-19 21:34:51 -0800,"New York, New York",Quito
10984,568638610385158145,positive,0.3491,,0.0,US Airways,,jdbwaffles,,0,"“  We're excited to have you fly with us, JB! When will this be?” Spring Break !!!",,2015-02-19 21:09:44 -0800,,
10987,568635173216133120,positive,1.0,,,US Airways,,masonkesner,,0,I will. Thank you for at least tweeting me back:) better than most. 👌,"[0.0, 0.0]",2015-02-19 20:56:04 -0800,"Arkansas, USA",Central Time (US & Canada)
10990,568634185155358720,positive,1.0,,,US Airways,,jdbwaffles,,0,Exicted to be flying with y'all soon !!,,2015-02-19 20:52:09 -0800,,
11025,568606066155634688,positive,1.0,,,US Airways,,mainerailbaron,,0,FA attendant on 4553 PHL to PWM tonight was fab!  An asset to your team.  From 1F. Have a great night team!,,2015-02-19 19:00:25 -0800,"Seat 3A, Always ",Eastern Time (US & Canada)
11027,568605539866976256,positive,1.0,,,US Airways,,ritapitas,,0,We're having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!,,2015-02-19 18:58:19 -0800,"Farmington Hills, MI",Eastern Time (US & Canada)
11028,568605001666449408,positive,1.0,,,US Airways,,ritapitas,,0,"Thank you,   Your fare to from DTW to DCA was much lower than  and   Thank you! You won me over!",,2015-02-19 18:56:11 -0800,"Farmington Hills, MI",Eastern Time (US & Canada)
11033,568598882613133314,positive,0.6436,,,US Airways,,dmbatcofc,,0,"I know that, thanks. Evaluate further ;-) ... -Chairman",,2015-02-19 18:31:52 -0800,Virginia,Eastern Time (US & Canada)
11044,568576810474201088,positive,1.0,,,US Airways,,niksushka,,0,thanks for getting me rescheduled on a direct flight to NOLA tonight in 10 minutes--and hopefully an hour earlier getting there!,,2015-02-19 17:04:09 -0800,"Silver Spring, MD",Central Time (US & Canada)
11053,568561924985782272,positive,1.0,,,US Airways,positive,christinachime,,0,thank you finally got our bag. Customer services reps were wonderful.,,2015-02-19 16:05:00 -0800,,
11061,568549003626811392,positive,0.6484,,0.0,US Airways,,JackNastyphx,,0,flight 437 PHX&gt;ORD.  Lead FA Bill is the most professional FA I have seen in 9 years of flying USAir. I have no AB cards. :-(,,2015-02-19 15:13:40 -0800,,Pacific Time (US & Canada)
11062,568548629432004609,positive,1.0,,,US Airways,,TimothySays,,0,I miss you too. Work has taken me out of Philly. I’ve been on flight 1776 from BOS —&gt; PHL so many times I should have a res. seat,,2015-02-19 15:12:11 -0800,"Burlington, MA",Eastern Time (US & Canada)
11067,568541965060427776,positive,1.0,,,US Airways,,jodimgocubs,,0,no problem.  Things worked out at airport.   Thanks!,,2015-02-19 14:45:42 -0800,,
11074,568534114527113216,positive,0.669,,,US Airways,,haskinsmindy,,0,"yes, it's a domestic flight. Thank you!",,2015-02-19 14:14:30 -0800,"Phoenix, AZ, USA",Pacific Time (US & Canada)
11077,568529856977199104,positive,1.0,,,US Airways,,NYCKMcG,,0,thanks! Made it safely!,,2015-02-19 13:57:35 -0800,"Hershey, PA ",
11088,568517827482685440,positive,1.0,,,US Airways,,sherrylweir,,0,"- love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,",,2015-02-19 13:09:47 -0800,,Quito
11089,568517386795507712,positive,0.6386,,,US Airways,,relaxed137,,0,thanks.  If you have another method also that would be nice.  Appears to be a design flaw,,2015-02-19 13:08:02 -0800,Arizona,Arizona
11109,568499384704479233,positive,0.3733,,0.0,US Airways,,nickpasculli,,0,lol me too,,2015-02-19 11:56:30 -0800,"Monterey County, CA",Arizona
11117,568494466929188864,positive,1.0,,,US Airways,,ColourBasis,,0,"thanks to the gate agent in State College, PA that was able to get me on an earlier flight AND figure out an earlier connection!",,2015-02-19 11:36:57 -0800,"National, based in Texas",Central Time (US & Canada)
11118,568494200163074048,positive,0.3796,,0.0,US Airways,,J_0_Y,,0,I just think it's weird to have mileage as 666,"[42.95119138, -87.90117857]",2015-02-19 11:35:54 -0800,"Washington, DC",
11156,568473401544859648,positive,1.0,,,US Airways,,Suejacken,,0,thanks,,2015-02-19 10:13:15 -0800,,Eastern Time (US & Canada)
11164,568469645843279872,positive,1.0,,,US Airways,,cahillwilliamr,,0,"made flight , please thank the crew of 556 great time recovery",,2015-02-19 09:58:19 -0800,,
11166,568465174702772226,positive,0.3691,,0.0,US Airways,,twitabuggin,,0,- so far so good this week. SAV to CLT boarded BEFORE the departure time (first time in 4 weeks). Perhaps an on time departure?!,,2015-02-19 09:40:33 -0800,,Eastern Time (US & Canada)
11171,568459150444769281,positive,0.6525,,,US Airways,,aemccollum,,0,Lilly M in SJU check in is fabulous!,,2015-02-19 09:16:37 -0800,,Eastern Time (US & Canada)
11174,568457722909368320,positive,0.6436,,,US Airways,,riascott39,,0,that's where we are now. Thank you.,,2015-02-19 09:10:57 -0800,,Eastern Time (US & Canada)
11181,568451849054851072,positive,1.0,,,US Airways,,JosephPMathews,,0,every day.,,2015-02-19 08:47:36 -0800,San Francisco,Pacific Time (US & Canada)
11186,568449520645906432,positive,1.0,,,US Airways,,CakeNDeath,,0,"on the DL, send Ethan some new pants and some \""white revive\"" laundry tabs. He's a great guy, good crew, he's just, err, single.",,2015-02-19 08:38:21 -0800,Old City Philly,
11189,568447513759522816,positive,0.6742,,0.0,US Airways,,DillardJ32,,0,thank you for refunding my bag fee.  I look forward to its return today I hope.,,2015-02-19 08:30:23 -0800,Anoka MN,Central Time (US & Canada)
11194,568444017106690048,positive,1.0,,,US Airways,,cahillwilliamr,,0,thank you,,2015-02-19 08:16:29 -0800,,
11204,568436081303158784,positive,0.6554,,0.0,US Airways,,KIDwonder444,,0,1917. Thanks for the 5 hour layover in LA too👍 Icing on the cake. At least your staff was courteous and helpful.. Not,,2015-02-19 07:44:57 -0800,,
11211,568423588077936640,positive,0.6931,,0.0,US Airways,,CakeNDeath,,0,thanks for slowing the inbound plane down so that we didn't need to worry about 4438 EYW being Late Flight. Great holz ahead. Cheers! 😀,"[35.2204278, -80.94281752]",2015-02-19 06:55:18 -0800,Old City Philly,
11215,568417751854931968,positive,1.0,,,US Airways,,HirasmusBidragi,,0,KUDOS to your phone support and Charlotte gate staff!,,2015-02-19 06:32:07 -0800,Scruffyville,
11257,568273310347165696,positive,0.6802,,,US Airways,,CaraModisett,,0,Will do :),,2015-02-18 20:58:09 -0800,"Memphis, Tennessee",Central Time (US & Canada)
11259,568265355115814913,positive,0.6472,,0.0,US Airways,,RuelBass,,0,thank you. We filled out a claim and hope to have the bags tomorrow.,,2015-02-18 20:26:33 -0800,"ÜT: 41.233943,-74.3966664",Eastern Time (US & Canada)
11261,568259618884993024,positive,1.0,,,US Airways,,schenkeytown,,0,- done :),,2015-02-18 20:03:45 -0800,,Arizona
11263,568258333649604608,positive,1.0,,,US Airways,,dianalovesdave,,0,"captain on flight 1712 from PHX-PHL at 3:55 tonight was hilarious. \""Greetings from the pointy end of the airplane\"" haha thanks!",,2015-02-18 19:58:39 -0800,"Born in NY, living in PA ",Eastern Time (US & Canada)
11288,568239978276360192,positive,1.0,,,US Airways,,dream_weaver96,,0,thank you for fixing my 5 hour delay.,"[35.22209167, -80.95237732]",2015-02-18 18:45:42 -0800,Murfreesboro- Memphis  ,Central Time (US & Canada)
11292,568234992557527040,positive,1.0,,,US Airways,,MarisaCavanaugh,,0,4 flights in 48hrs & I've had the same flight attendant for 3 of those flights. Freaky coincidence! Plus side she's great. :),,2015-02-18 18:25:54 -0800,NYC,Eastern Time (US & Canada)
11293,568234162638999552,positive,1.0,,,US Airways,,CAVHkraMriA,,0,landed safely everything worked out.,,2015-02-18 18:22:36 -0800,,Eastern Time (US & Canada)
11297,568229427286405121,positive,0.6891,,,US Airways,,dMORE14,,0,on Sunday! Can't wait! See you then,,2015-02-18 18:03:47 -0800,chu,Quito
11306,568223380375076864,positive,1.0,,,US Airways,,LayneHillesland,,0,finally rectified my flight situation! Thanks again,,2015-02-18 17:39:45 -0800,,
11308,568221761898209280,positive,1.0,,,US Airways,,bryanjholmes,,0,on time today and from PHL! Nice work!,,2015-02-18 17:33:19 -0800,"dublin, ohio",Quito
11313,568218389619077121,positive,1.0,,,US Airways,,billgunger,,0,ice cream up front! Solid,,2015-02-18 17:19:55 -0800,,EST
11314,568217681838641152,positive,1.0,,,US Airways,,statepkt,,0,shout out to the pilots and FC attendant(Eliz) of US 673. Super strong crosswinds during landing. Eliz did a super job throughout,,2015-02-18 17:17:06 -0800,,Eastern Time (US & Canada)
11351,568175323470290944,positive,1.0,,,US Airways,,pocketsizemando,,0,Marsha M. at Myrtle Beach is the greatest! She deserves all the respect and praise there is!,,2015-02-18 14:28:47 -0800,"Fort Worth, TX",Central Time (US & Canada)
11360,568171538324840449,positive,0.7049,,,US Airways,,davegoldfarb,,0,we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far,,2015-02-18 14:13:45 -0800,"Delray Beach, FL",Eastern Time (US & Canada)
11368,568166268546748416,positive,0.3419,,0.0,US Airways,,TroyTrudel,,0,ok thank you we were told ground delay due to snow.,,2015-02-18 13:52:49 -0800,"ÜT: 42.798909,-71.542817",Central Time (US & Canada)
11373,568163426343784448,positive,1.0,,,US Airways,,GabeFerris,,0,First Class all the way!!💺✈️ Headed to,,2015-02-18 13:41:31 -0800,#Supergabe - Central Maine,Eastern Time (US & Canada)
11378,568161284249796608,positive,0.6495,,0.0,US Airways,,ALHphoto,,0,your pple did a great job w the madness however some of your systems need help. I appreciate the hard work & the push to b better,,2015-02-18 13:33:00 -0800,"Raleigh,NC",Atlantic Time (Canada)
11379,568160713170149376,positive,0.6705,,0.0,US Airways,,Jeffrey_Hurley,,0,thanks for giving away my seat. Another fine job!,"[35.22123472, -80.93287633]",2015-02-18 13:30:44 -0800,"Winston Salem, NC",Eastern Time (US & Canada)
11382,568157856576475136,positive,1.0,,,US Airways,,hotcakes_33,,0,thanks.,,2015-02-18 13:19:23 -0800,"Charlotte, NC",Eastern Time (US & Canada)
11384,568155954484797442,positive,1.0,,,US Airways,,CSquieri,,0,thanks to Betty working gate at ILM and lovely gate agents here in CLT helping me get home 2 Phx tonight instead of tomorrow,"[35.21820752, -80.94527061]",2015-02-18 13:11:50 -0800,"Mesa, AZ
",Arizona
11389,568152863962238976,positive,1.0,,,US Airways,,shhashhank,,0,surprisingly quick response time by you and them. Thanks!,,2015-02-18 12:59:33 -0800,"Boston, MA | San Jose, CA",Arizona
11416,568134058242400256,positive,0.63,,,US Airways,,MaxImumZero386,,0,thanks!  Can you help remind the agents it's ok?  Ps. Heard rumors of a streaming wifi TV/movie service you might be installing,,2015-02-18 11:44:49 -0800,Planet Earth,
11426,568124226135130112,positive,0.6556,,,US Airways,,AndrwM,,0,. thanks!,,2015-02-18 11:05:45 -0800,"Greenville, SC",Eastern Time (US & Canada)
11429,568121535233458176,positive,1.0,,,US Airways,,CaraModisett,,0,she also appreciated having her very own hashtag! :),,2015-02-18 10:55:03 -0800,"Memphis, Tennessee",Central Time (US & Canada)
11436,568116534855503872,positive,1.0,,,US Airways,,Logunov_Daniil,,0,YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,,2015-02-18 10:35:11 -0800,"Russia, Россия",Abu Dhabi
11458,568103967185444866,positive,0.6871,,0.0,US Airways,,MoamarMoMoney,,0,thanks for reaching out to me.  My Gold Div no. 2k424j0. My Flights were changed under Confirmation # DNX58V.,"[41.16012493, -81.39760735]",2015-02-18 09:45:15 -0800,,Eastern Time (US & Canada)
11461,568100712309256192,positive,0.6678,,0.0,US Airways,,claytonconway,,0,yes and our flight attendant (who is wonderful btw) secured the tray table so it's not flailing about.,,2015-02-18 09:32:19 -0800,Seattle,
11463,568095863731433473,positive,1.0,,,US Airways,,CateItaliano,,0,thanks for seating me next to 2 hot athletes. This flight is significantly better now!,,2015-02-18 09:13:03 -0800,Wonderland,Central Time (US & Canada)
11464,568094172508336128,positive,1.0,,,US Airways,,kimlipp,,0,Thank you!!! On our way to get her bag now - thanks to having that number 😊,,2015-02-18 09:06:20 -0800,"Fernandina Beach, FL",Eastern Time (US & Canada)
11490,568074163270905856,positive,0.6505,,,US Airways,,aparisbonvoyage,,0,"Thank you, busy times.",,2015-02-18 07:46:49 -0800,,
11494,568072770103308288,positive,0.6554,,,US Airways,,Shrubbette,,0,thanks :),,2015-02-18 07:41:17 -0800,"Melbourne, Australia",Adelaide
11498,568069549591035904,positive,1.0,,,US Airways,,Logunov_Daniil,,0,"YOU ARE AMAZING!!! FOLLOW ME BACK, PLEASE!!!🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",,2015-02-18 07:28:29 -0800,"Russia, Россия",Abu Dhabi
11505,568063386321158145,positive,0.6445,,,US Airways,,RoryPhilbin1,,0,thanks so much!,,2015-02-18 07:04:00 -0800,NYC/London ,
11513,568059390135304193,positive,1.0,,,US Airways,,Logunov_Daniil,,0,YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,,2015-02-18 06:48:07 -0800,"Russia, Россия",Abu Dhabi
